Country,Province,City,Data Start Date,Mape,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Internal Parameter 1,Internal Parameter 2
Brasil,AL,Estado,2020-04-17,21.89961580231875,1.9999999999283942,-8.222368414622615,1.0000000000312081,0.49999999999396727,0.030171540832207182,0.100000019029224,0.5391066234205952
Brasil,SE,Estado,2020-04-22,22.890317776319545,1.9999999999980747,-2.9227328115848428,1.0000000000053246,0.31331770838936357,0.0279628734440541,0.10000000027218907,0.10000000005647067
Brasil,BA,Estado,2020-03-26,45.22735953421151,1.999999999999887,-2.030448164669974,1.0000000000001759,0.0500000000004163,0.03541815483058813,0.10000000000885569,0.1000000000015072
Brasil,MG,Estado,2020-03-23,71.81846075093532,1.9999999999975007,-5.290996206090406,1.0000000000007785,0.05000000000155804,0.030444817254919633,0.1000000000000855,0.10000000000014392
Brasil,ES,Estado,2020-04-02,25.449384254865087,1.9999999999949194,-4.173789091348587,1.0000000000014362,0.12098593096735032,0.0390308921702095,0.1000000000005685,0.10000000000184624
Brasil,RJ,Estado,2020-03-20,20.434584306905812,1.9999999999941698,-1.3201438626239934,1.0000000000007991,0.33199737517033096,0.09345924366594367,0.10000000002195633,0.10000000000026246
Brasil,SP,Estado,2020-03-15,36.22302906170827,1.9999999999999643,0.6224032292354246,1.0000000000000036,0.0872750895555746,0.06144594836859579,0.10000000000029949,0.10000000000019404
Brasil,PR,Estado,2020-03-26,76.95407291464866,1.9999999999997402,-6.6459999213517476,1.0000000000004703,0.05000000001689964,0.037228393985518256,0.1000000000058455,0.1000000000007213
Brasil,SC,Estado,2020-03-24,47.084497699996646,1.9999999999996894,-6.603749087023359,1.0000000000030809,0.05000000000571956,0.017497751283858255,0.10000000000326863,0.10000000000010206
Brasil,RS,Estado,2020-03-25,45.09463322992755,1.999999999999824,-7.1762322745668925,1.0000000000002354,0.05000000000062672,0.03396853655901233,0.1000000000002207,0.10000000000016952
Brasil,MS,Estado,2020-04-12,58.2341231137254,1.9999999999941604,-9.857511569050622,1.000000000002237,0.05000000002399055,0.01800567076295588,0.10000000000049829,0.10000000000100044
Brasil,MT,Estado,2020-04-09,84.35882599255535,1.9999999999998248,-7.026637595113242,1.000000000000287,0.05000000001162123,0.05770739136775258,0.10000000000293122,0.10000000000107336
Brasil,GO,Estado,2020-04-04,59.23137918662073,1.9999999999998879,-6.001997579058442,1.0000000000006062,0.05000000000072303,0.03471671129367168,0.10000000000664351,0.10000000000093641
Brasil,DF,Estado,2020-03-22,92.06298129440526,1.99999999999934,-4.635252593589752,1.0000000000000135,0.05000000000170374,0.017929028627780307,0.10000000000019432,0.10000000000086587
Brasil,CE,Fortaleza,2020-03-28,13.39589423799164,1.79509168040347,-9.99999998515172,1.0000000000458613,0.3554939322461925,0.09395501358693094,0.589998734218996,0.10000001105772702
Brasil,MA,São Luís,2020-04-06,13.312197009691086,1.5137985753466543,-9.999999689655704,1.0000000070393131,0.12460746279632959,0.06853655758788992,0.10000001891180256,1.115626177301963
Brasil,BA,Salvador,2020-03-29,23.88112533734366,1.9999999999962406,-5.28865732818819,1.0000000000050946,0.06167543460039506,0.044990222529145155,0.10000000000242591,0.1000000000001755
Brasil,RN,Natal,2020-04-05,35.9985772637618,1.9999999999980587,-9.621462605943659,1.0000000000001792,0.0500000000313394,0.05570309697692575,0.10000000001001409,0.10000000000320373
